"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1","cali_intc_byAvg_3fold_W0","cali_intc_byAvg_3fold_W1","cali_intc_estsd_byAvg_3fold_W0","cali_intc_estsd_byAvg_3fold_W1","cali_intc_rej_byAvg_3fold_W0","cali_intc_rej_byAvg_3fold_W1","cali_intc_extAvg_3fold_W0","cali_intc_extAvg_3fold_W1","cali_intc_estsd_extAvg_3fold_W0","cali_intc_estsd_extAvg_3fold_W1","cali_intc_rej_extAvg_3fold_W0","cali_intc_rej_extAvg_3fold_W1","cali_intc_byAvg_4fold_W0","cali_intc_byAvg_4fold_W1","cali_intc_estsd_byAvg_4fold_W0","cali_intc_estsd_byAvg_4fold_W1","cali_intc_rej_byAvg_4fold_W0","cali_intc_rej_byAvg_4fold_W1","cali_intc_extAvg_4fold_W0","cali_intc_extAvg_4fold_W1","cali_intc_estsd_extAvg_4fold_W0","cali_intc_estsd_extAvg_4fold_W1","cali_intc_rej_extAvg_4fold_W0","cali_intc_rej_extAvg_4fold_W1","cali_intc_byAvg_5fold_W0","cali_intc_byAvg_5fold_W1","cali_intc_estsd_byAvg_5fold_W0","cali_intc_estsd_byAvg_5fold_W1","cali_intc_rej_byAvg_5fold_W0","cali_intc_rej_byAvg_5fold_W1","cali_intc_extAvg_5fold_W0","cali_intc_extAvg_5fold_W1","cali_intc_estsd_extAvg_5fold_W0","cali_intc_estsd_extAvg_5fold_W1","cali_intc_rej_extAvg_5fold_W0","cali_intc_rej_extAvg_5fold_W1"
"result.459",0.107402340454715,0.00212434118802182,0.087738818178631,0.087738818178631,-0.0122080759370275,-0.000978312556361326,0.0916254452711121,0.0221693942455252,0,0,-0.000955207625453477,0.000240682118400868,0.0907346296774116,0.0221493795663923,0.179777760495053,0.0172864058153836,0.193869563259287,0.0496144837468724,0,0,-0.059758589919379,-0.0257799468343877,0.215948832022523,0.0501089656171572,0,0,-0.241640005344865,-0.102055067534864,0.229556473920655,0.0512003531571842,0,0,-0.109260183699214,-0.0485275142366027,0.216258230434486,0.0499429523021984,0,0,0.101269895413416,0.0449083122208724,0.19947847115445,0.0493188971452214,0,0,0.0317243589627307,0.00693975545054539,0.203530192760622,0.0497602268120973,0,0,0.106020987731945,-0.0560960808026396,0.18507328940066,0.050078835600793,0,0,0.190119602595086,0.0404955402817215,0.185207478585206,0.0486241601693318,0,0,-0.206469017980686,0.0910648675194407,0.216425822739413,0.0476487931148641,0,0,0.484186514334349,0.0374938712788326,0.160005074761729,0.0493401125808288,1,0
"result.460",-0.136332914783287,0.0208172126347199,0.0912999508236903,0.0912999508236903,-0.00252014508639422,-0.00157874231373659,0.0859375336390294,0.02214709467697,0,0,-0.000583040126803379,-0.000318636629410221,0.0857413056503866,0.0221212774427152,-0.134326124775432,0.0311770460973354,0.196899147969304,0.0491282834562903,0,0,-0.0664183740813417,0.0383259399156267,0.200058990792346,0.0489128603619649,0,0,0.106189409313428,-0.0332550795176759,0.184476593283345,0.0500212455439499,0,0,-0.142045153633264,-0.0349150535434428,0.211208243327907,0.0500005448372721,0,0,-0.0578180830513054,0.127420890557851,0.197035686538523,0.0476101887042953,0,0,-0.0170882305330347,0.0680643158241951,0.193246309507399,0.0490052133938876,0,0,0.220486985464779,0.021683302858436,0.182315521813247,0.0494336139303792,0,0,-0.128186858752408,0.0289679910142195,0.196851683908034,0.0494175772938518,0,0,-0.14713291238344,-0.154919871564629,0.200083885573303,0.0514187143742286,0,0,-0.327925956916387,0.00364286996300119,0.21939925438511,0.0485721994654173,0,0
"result.461",-0.135543800853355,-0.0678267064717743,0.0946864899642788,0.0946864899642788,-0.0242887384070369,-0.000686569219899667,0.0935328398464845,0.0217024591483917,0,0,-0.000148841751297764,-0.000151934761152327,0.0918190732962033,0.0216921703323285,-0.567647218671685,-0.0363312933719511,0.25707336963449,0.0489223329991528,0,0,-0.278094753546033,-0.0424771643706917,0.211645996857319,0.0493225062504596,0,0,-0.098860679554016,-0.00153588569694368,0.205464778309339,0.0483509070339536,0,0,-0.197575347762367,-0.0959491011837987,0.216507288893347,0.0505683071162739,0,0,0.084047664800823,-0.0389981487661097,0.200690200973891,0.0494062408594512,0,0,-0.107670176110826,-0.0867818535956931,0.20721858923334,0.0501658100429553,0,0,0.351373644074687,-0.0272782341007204,0.185119190957815,0.0487505463314677,0,0,-0.360153695678549,-0.126836631928778,0.242760656179661,0.050617583837658,0,1,0.109642897315006,0.100710715836226,0.197381400251168,0.0472108424495552,0,0,0.265774968831001,0.0129112187200895,0.180494609391228,0.0484427564115858,0,0
"result.462",0.0517514717890579,-0.0570112785823832,0.0943430920576478,0.0943430920576478,-0.00807804386844515,-7.93455780064894e-05,0.094162795950226,0.0216102071970819,0,0,-0.000158441360065461,0.00014492365081974,0.0935078196212908,0.0216063752560759,0.164235986109039,0.00292698168175489,0.196724679826992,0.0482982737920814,0,0,0.389577188302618,-0.115385142690427,0.178003209929094,0.0505787439352635,0,0,0.140120613208148,-0.0132827309872754,0.194556292842213,0.048924217684587,0,0,-0.0343529622471316,-0.0985245664207787,0.226824657462285,0.0499679426969939,0,1,0.0459416564816817,-0.00960117682073059,0.211697102965803,0.0484009792776049,0,0,-0.152852443862123,0.0231801776005563,0.230093924108456,0.0477157567485482,0,0,-0.205132794864899,-0.0153243231277235,0.219783518765488,0.0485374402353842,0,0,-0.0185553344891385,-0.0371024622309677,0.21983691708663,0.0488593578902583,0,0,-0.185555680276196,0.0348845213639421,0.230010469080241,0.0474485505129946,0,0,0.0749409112410644,-0.0572243991702994,0.200029126655641,0.049198400552222,0,0
"result.463",-0.149942249149777,0.00618152374160418,0.0942057909122885,0.0942057909122885,0.000302700227377284,-0.000372591240728336,0.0880444691272737,0.0220412440053794,0,0,-0.000549362943122356,-8.48781513584056e-05,0.0879159672964239,0.0220348203058656,0.161728151916795,0.0648803046319991,0.189528125015659,0.0484073302802422,0,0,0.00188044743426395,0.0669512125401592,0.193888975282866,0.0484154908631044,0,0,0.092614726132844,0.00107010010365734,0.193847766793344,0.049013657467134,0,0,-0.0282155704943828,-0.0205179686062226,0.198338123597216,0.0492631269764547,0,0,-0.0341883564290709,-0.0148514037831911,0.204459462160347,0.0491228035692538,0,0,-0.40683436359403,-0.045805682703992,0.231165882655611,0.0493818552151693,0,0,-0.133352529381758,-0.0240030310996778,0.199918069934284,0.0500354354378016,0,0,0.000359618793349282,-0.0106310875448476,0.199382722041213,0.0495887343199463,0,0,-0.0852884911019232,-0.0289589260564292,0.196613666153693,0.0498493727690083,0,0,-0.316901377888085,0.0409111450229238,0.230477058193139,0.048446628573025,0,0
"result.464",0.058580666493284,0.00448214273456924,0.0893859091729447,0.0893859091729447,-0.0114610848378984,-0.00211568305372026,0.0931754245328564,0.0220074957899747,0,0,0.000383076461594544,0.000432942940588617,0.0923610298166954,0.0219684669884742,0.221556183101086,0.129014952595316,0.191147800304996,0.0470917683829975,0,0,0.202169010868113,0.101679541916234,0.190464620841339,0.0474079372541567,0,0,0.123011606845834,-0.153640085138307,0.197010734807034,0.0517249354607124,0,0,0.233063515319743,0.017345740661502,0.186375844089137,0.0483233122133381,0,0,-0.0974409228875778,-0.00294332408464077,0.212271894087741,0.0493962913786831,0,0,0.0920073917536153,-0.0666310359175067,0.195193263953798,0.0500813650044295,0,0,-0.343934679852914,-0.0388609001312996,0.23677112677369,0.0496722226207148,0,0,-0.124207183483555,-0.0164958891175686,0.216281455575096,0.0491199047484035,0,0,0.0395023886040792,0.0558509414903301,0.204531359465881,0.0481660651615118,0,0,-0.110129401991496,-0.0134876438698146,0.211049661247262,0.0495156568875611,0,0
"result.465",0.0319123439392263,-0.00493642850578659,0.0933763521145535,0.0933763521145535,-0.0203385204172153,-0.000635964711464371,0.0941793723585213,0.0218295901680086,0,0,-0.0021962121437012,-8.95467853539808e-05,0.0926229967689556,0.0218203551522247,0.252758684950413,0.0581234916930838,0.191674482742386,0.0478421673661472,0,0,-0.040939639240939,-0.0548725156388908,0.215976476337222,0.0493608132682283,0,0,0.250321992795958,0.0273722544852232,0.188305378495919,0.0484876253793185,0,0,0.22623443291205,0.00209818530919513,0.199978513241643,0.0486552563142856,0,0,-0.44220519829248,-0.0214907319620866,0.236024624293987,0.0490448204864896,0,0,0.0649066423230093,-0.0241178052940496,0.196747096694381,0.0490118416387435,0,0,-0.371715217695848,-0.0741615894667501,0.236639388940587,0.0500370153284337,0,0,-0.113383930752401,0.0360698140385635,0.215512204287421,0.0478624796528991,0,0,0.209147136155881,0.00697675169320781,0.200313518886713,0.0486506091227527,0,0,0.0227442144544127,0.0161401790562488,0.215765063534821,0.0483932262769354,0,0
"result.466",-0.0169343495283596,-0.00199133016952486,0.101085653368389,0.101085653368389,-0.0221249759499541,-0.000131626494571939,0.0997242983985943,0.0218293996957841,0,0,-0.00371927109231713,0.000257866303674023,0.0979239523123448,0.0218236214571991,0.3080593596488,0.0138994142753901,0.201792428334702,0.0483384631511971,0,0,-0.42281673736534,-0.0926508910618251,0.273299078409679,0.0501122567196716,0,0,-0.329394019264893,-0.042441518620401,0.248743464915494,0.0498814496181752,0,0,-0.456546030243981,0.094595088155398,0.25729641746946,0.0468541711315549,0,1,-0.178868477995002,0.0167226048805772,0.231154586299593,0.0485179652768799,0,0,0.357817733735249,0.0364689608707616,0.180955689648924,0.0484591578492826,1,0,0.487816289141625,0.0322188934422224,0.191059658015033,0.0482021613763099,0,0,0.258045439061475,0.0134842531275891,0.211012988605814,0.0486284851149659,0,0,-0.398238031280301,-0.0210575264506485,0.24220141357383,0.0491200687163699,0,0,0.178827847170798,-0.0618540619395479,0.207607788274613,0.0500785476036071,0,0
"result.467",0.167334743147672,0.0103581520688024,0.089243964765395,0.089243964765395,-0.0317791256192324,7.0216559788383e-05,0.0980639141241853,0.0216865673745968,0,0,0.00192566976290775,0.000286360684373523,0.0957674657204493,0.0216835679054058,-0.459557266216941,-0.0177973403836189,0.257681138139048,0.0489087574896699,0,0,0.400384763137134,-0.0193223619797205,0.178002679938782,0.0490076153936431,0,0,0.298432591921937,-0.0529973517598923,0.196012746885865,0.0492188005507792,0,0,-0.100103789698567,-0.00874102272909403,0.220004117355978,0.0484680570138111,0,0,0.353163892186233,0.0309179095269879,0.185108398908911,0.0481637278043743,0,0,0.297595245866727,0.0344198810681632,0.199624134908206,0.0479507360014328,0,0,-0.280039403266142,0.0171768583497535,0.242694651938895,0.0480706464483722,0,0,0.132307633553169,0.0186642973093061,0.201150672762581,0.0478750828978165,0,0,-0.0708954427212486,0.0230510070657117,0.214890954734181,0.0481012619479425,0,0,0.106489862879898,0.0267699666753571,0.198996254019549,0.0479922989187789,0,0
"result.468",0.0813660147317708,-0.0204440693346765,0.0864333345105329,0.0864333345105329,0.00112961070703627,-0.000179115826358902,0.0886250695680009,0.0216047982863085,0,0,-0.000679552232595855,2.86450242229072e-05,0.0885602257497932,0.021601159172779,0.00130810018991313,-0.0845991933876496,0.196648260323116,0.0492567316042811,0,0,0.18950809296396,0.0495235959723779,0.187032494988404,0.0476072590177027,0,0,-0.0355003120595925,0.00278800270548117,0.195990568727044,0.0484408306589486,0,0,0.0665483585379851,-0.0603210408631113,0.187401019794685,0.0501202784986477,0,0,0.0944625581748086,0.0242023938189361,0.192280021275156,0.0478922725963216,0,0,0.22536518343907,-0.0422661339933881,0.184592791922389,0.0494511977526339,0,0,0.0445099657827279,0.0420002403140757,0.208109369279929,0.0476980518637304,0,0,0.0210826915928203,-0.0163215223236337,0.200353098880924,0.0491616840139896,0,0,-0.0991322585526758,0.0147129774173621,0.197830180718244,0.0482611013185025,0,0,-0.095674252874982,-0.0328352454656276,0.206974651851248,0.0493176045322272,0,0
"result.469",0.0151799688437734,0.0739171674746107,0.0861728919982873,0.0861728919982873,-0.00825819689111038,-0.000591241315163099,0.0898015290377686,0.0220544829979008,0,0,-0.000383731396965023,-0.000351440317078225,0.0892555443990714,0.022050145047707,0.0285319707147243,0.052218333050763,0.196780728854943,0.048867309645949,0,0,0.143894460171213,-0.0344928731211315,0.188088527274853,0.0504276756981356,0,0,-0.0281720197963719,-0.062505319217257,0.200422049491669,0.0502879446744147,0,0,-0.0333766670296365,0.130485265814508,0.189905411508843,0.0468884587859479,0,1,-0.353285101622092,0.0190564566269964,0.226074359895441,0.0490266696883196,0,0,-0.102458627353792,0.10751750782443,0.199677475139092,0.0476647252951025,0,1,0.0690385574057877,-0.0273878080270792,0.19314110395094,0.0496196936508629,0,0,0.157531934610859,0.0834817825701534,0.177797573733658,0.0479165904775355,0,0,0.2425956088424,0.0156621309907613,0.187593374866366,0.0487749983000509,0,0,-0.0896912561797772,0.0825941542850946,0.207973233973145,0.0481766488716344,0,0
